cluster,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,agent,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,total_stay
-1,97.218,2016.156,27.424,15.788,0.97,2.553,1.849,0.104,0.01,0.03,0.076,0.169,0.235,77.848,2.484,102.067,0.063,0.621,3.523
0,315.446,2015.0,35.938,16.323,0.415,1.492,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.077,0.0,70.954,0.0,0.0,1.908
1,115.742,2017.0,14.935,22.484,0.032,2.645,2.0,0.0,0.0,0.0,0.0,0.0,0.0,28.774,0.0,102.103,0.0,0.0,2.677
2,46.769,2017.0,23.231,10.615,0.846,2.077,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.154,0.0,119.948,0.0,1.0,2.923
3,61.087,2015.0,37.565,12.696,0.0,2.13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.87,0.0,99.548,0.0,0.0,2.13
4,380.147,2016.0,31.088,13.824,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.647,0.0,62.941,0.0,0.0,2.0
5,246.154,2016.0,41.692,27.692,1.0,2.077,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.231,0.0,106.723,0.0,0.0,3.077
6,82.571,2016.0,8.571,17.714,0.0,1.714,2.0,0.0,0.0,0.0,1.0,0.0,0.0,43.143,0.0,77.143,0.0,0.0,1.714
7,47.429,2017.0,9.786,18.357,1.071,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.929,0.0,84.528,0.0,0.0,3.071
