start_hour,start_month,start_weekday,duration_minutes,Distance(mi),Temperature(F),Visibility(mi),Amenity,Bump,Crossing,Junction,Railway,Stop,Traffic_Signal,Severity
8,4,4,62.03333333333333,0.0,59.0,10.0,0,0,0,0,0,0,0,3
12,4,2,30.0,0.01,63.0,10.0,0,0,0,1,0,0,0,3
10,4,0,30.0,0.01,62.1,10.0,0,0,0,0,0,0,0,3
14,1,2,44.35,0.01,57.0,10.0,0,0,0,0,0,0,0,3
14,7,1,30.0,0.0,71.1,10.0,0,0,0,0,0,0,0,2
16,11,3,44.71666666666667,0.0,81.0,10.0,0,0,0,0,0,0,0,2
16,8,3,45.0,0.0,77.0,10.0,0,0,0,0,0,0,0,2
22,4,5,30.0,0.0,50.0,10.0,0,0,0,0,0,0,1,2
12,12,6,44.416666666666664,0.01,71.1,10.0,0,0,0,0,0,0,0,2
23,8,4,45.0,0.0,68.0,10.0,0,0,0,0,0,0,0,3
8,1,1,39.36666666666667,0.01,42.8,10.0,0,0,0,0,0,0,0,3
20,9,3,36.78333333333333,0.0,63.0,10.0,0,0,0,0,0,0,0,3
17,7,4,45.0,0.0,80.1,10.0,0,0,0,1,0,0,0,3
2,12,5,44.75,0.01,47.0,10.0,0,0,0,0,0,0,0,2
8,11,1,29.583333333333332,0.01,59.0,10.0,0,0,0,0,0,0,0,3
11,9,2,30.0,0.0,73.0,10.0,0,0,0,0,0,0,0,3
18,8,1,45.0,0.0,75.0,10.0,0,0,0,0,0,0,0,3
20,8,1,45.0,0.0,71.1,10.0,0,0,0,0,0,0,1,3
9,10,1,35.8,0.0,69.8,10.0,0,0,0,0,0,0,0,3
22,12,4,44.68333333333333,0.01,57.0,3.0,0,0,0,0,0,0,0,2
17,9,5,30.0,0.0,71.6,10.0,0,0,0,0,0,0,0,2
13,11,4,29.183333333333334,0.01,78.1,10.0,0,0,0,0,0,0,0,3
18,7,4,45.0,0.0,90.0,10.0,0,0,0,0,0,0,0,2
20,8,2,45.0,0.0,69.1,10.0,0,0,0,1,0,0,0,2
17,10,4,44.53333333333333,0.0,80.1,10.0,0,0,0,0,0,0,0,3
9,1,2,29.616666666666667,0.01,50.0,10.0,0,0,0,0,0,0,0,3
20,12,3,44.75,0.01,59.0,7.0,0,0,0,0,0,0,0,3
12,6,1,45.0,0.0,87.1,10.0,0,0,0,0,0,0,0,3
3,5,6,45.0,0.01,53.6,10.0,0,0,0,0,0,0,0,2
18,10,5,44.333333333333336,0.01,64.0,8.0,0,0,0,0,0,0,0,2
17,8,1,45.0,0.0,91.9,10.0,0,0,0,0,0,0,0,2
20,8,0,45.0,0.0,81.0,10.0,0,0,0,0,0,0,0,3
11,10,0,29.6,0.0,73.0,10.0,0,0,0,0,0,0,1,2
21,9,1,45.0,0.0,68.0,9.0,0,0,0,0,0,0,0,3
19,8,5,30.0,0.0,70.0,10.0,0,0,0,0,0,0,0,3
16,12,4,44.43333333333333,0.01,60.1,10.0,0,0,0,0,0,0,0,3
17,11,6,29.733333333333334,0.01,57.0,3.0,0,0,0,0,0,0,0,2
20,10,5,29.7,0.01,71.6,10.0,0,0,0,0,0,0,0,3
22,1,2,44.61666666666667,0.01,36.0,1.5,0,0,0,0,0,0,0,3
22,8,5,30.0,0.0,63.0,10.0,0,0,0,0,0,0,0,3
16,6,5,90.0,0.0,87.1,10.0,0,0,0,0,0,0,0,3
20,8,3,45.0,0.0,71.1,10.0,0,0,0,1,0,0,0,3
17,10,5,59.78333333333333,0.0,87.1,10.0,0,0,0,0,0,0,0,2
18,5,0,30.0,0.01,73.9,10.0,0,0,0,0,0,0,0,3
18,8,0,45.0,0.0,80.6,10.0,0,0,0,0,0,0,0,2
5,1,5,59.45,0.01,44.1,,0,0,0,0,0,0,0,2
22,10,6,29.6,0.01,62.6,10.0,0,0,0,0,0,0,0,3
10,5,2,30.0,0.01,59.0,10.0,0,0,0,0,0,0,0,2
17,9,1,44.2,0.0,80.1,10.0,0,0,0,0,0,0,0,3
13,3,5,58.61666666666667,0.01,68.0,10.0,0,0,0,0,0,0,0,2
23,11,3,43.583333333333336,0.01,55.9,10.0,0,0,0,0,0,0,0,3
19,5,4,75.0,0.0,55.9,3.0,0,0,0,0,0,0,0,2
19,7,2,47.81666666666667,0.0,78.1,10.0,0,0,0,0,0,0,0,3
10,10,3,33.31666666666667,0.01,68.5,6.0,0,0,0,0,0,0,0,3
14,6,1,30.0,0.01,70.0,10.0,0,0,0,1,0,0,0,3
10,5,0,30.0,0.01,62.1,10.0,0,0,0,0,0,0,0,2
17,8,1,45.0,0.0,75.9,10.0,0,0,0,0,0,0,0,3
12,8,0,45.0,0.0,82.0,10.0,0,0,0,0,0,0,0,3
0,10,3,44.7,0.01,57.9,10.0,0,0,0,0,0,0,0,2
